paper,year,app distribution platform,app type,# apps,app choosing preference,# reviews,total # reviews,# samplel reviews
A preliminary analysis of mobile app user reviews,2012,Apple App Store,top 400 free and paid apps in each of the 22 categories,800,"popularity

domain diversity,

free & paid","8,701,198 reviews made by 5,530,025 users across 17,330 apps.","8,701,198",
A preliminary analysis of vocabulary in mobile app user reviews,2012,Apple App Store,top 400 free and paid apps in each of the 22 categories,800,"popularity 

domain diversity","8,701,198 reviews made by 5,530,025 users across 17,330 apps.","8,701,198",
Managing the Enterprise Business Intelligence App Store: Sentiment Analysis Supported Requirements Engineering,2012,Apple App Store,nine of the top ten best iPhone Productivity apps,9,"popularity

app category Productivity","a random sample of a total of 5036 reviews of the 23,534 available reviews through iTunes
Connect for nine of the top ten best iPhone Productivity apps",23534,"5036, simple random sampling"
Accessibility in smartphone applications: what do we learn from reviews?,2013,using a third-party data provider appfigures.com,25 applications,25,,173 reviews  (Two expert coders annotated the data),173,
Analysis of user comments: An approach for software requirements evolution,2013,Google Play,"Calorie Tracker, Mint.com Personal Finance, and Facebook",3,,2651 reviews,"2,651",
Awesome!: conveying satisfaction on the app store,2013,Apple App Store,top 25 Free Health & Fitness apps,25,"popularity

free

app category Health & Fitness","29,182 reviews","29,182",
Do Android users write about electric sheep? Examining consumer reviews in Google Play,2013,Google Play,"only free applications

 (from all categories)
The 60 applications were made up of two randomly selected applications from each Google Play category.",60,"only free applications

from all categories","selected 556 reviews from 59 different applications  (key-point investigation)

By default, the reviews in Google Play are ordered by “Helpfulness.” For our study, we looked at the first 10 reviews for each application, i.e., the 10 most helpful reviews and reviews that consumers were most likely to see by default.",556,"556, key-point investigation"
Retrieving and analyzing mobile apps feature requests from online reviews,2013,Google Play,161 apps  (top 6 most popular categories),161,"popularity

domain diversity,",3279 reviews,"3,279",
Serendipitous Recommendation for Mobile Apps Using Item-Item Similarity Graph,2013,collecting through a commercial project – Mobilewalla 3,"66,223 apps","66,223",,,,
"Trusting smartphone Apps? To install or not to install, that is the question",2013,Google Play,"11326 Apps  (top 100 Apps in each of the 30 categories, Top Free, Top Paid, Top Grossing, etc.)","11,326","popularity

domain diversity,

free & paid",790940 reviews,"790,940",
User feedback in the appstore: An empirical study,2013,Apple App Store,"1,100 applications  (550 free, 550 paid).","1,100",free & paid,"total 1,126,453 reviews

 (when analyzing review content)randomly selected 12 reviews from each of the 22 application categories for both free and paid applications, leading to 528 reviews. stratified sampling based on app categories and the prices","1,126,453","528, stratified sampling"
