paper,Year,Game,Productivity,Media Consumption,Utilitarian,Other,Social,"Health, Nutrition, and Medical",Photography
A preliminary analysis of mobile app user reviews,2012,1,1,1,1,1,1,1,1
A preliminary analysis of vocabulary in mobile app user reviews,2012,1,1,1,1,1,1,1,1
Managing the Enterprise Business Intelligence App Store: Sentiment Analysis Supported Requirements Engineering,2012,0,1,0,0,0,0,0,0
Analysis of user comments: An approach for software requirements evolution,2013,0,0,0,1,0,1,1,0
Awesome!: conveying satisfaction on the app store,2013,0,0,0,0,0,0,1,0
Do Android users write about electric sheep? Examining consumer reviews in Google Play,2013,1,1,1,1,1,1,1,1
Retrieving and analyzing mobile apps feature requests from online reviews,2013,0,1,1,1,1,0,1,0
Serendipitous Recommendation for Mobile Apps Using Item-Item Similarity Graph,2013,1,1,1,1,1,1,1,1
"Trusting smartphone Apps? To install or not to install, that is the question",2013,1,1,1,1,1,1,1,1
User feedback in the appstore: An empirical study,2013,1,1,1,1,1,1,1,1
"What Are You Complaining About?: A Study
of Online Reviews of Mobile Applications",2013,0,1,1,1,1,0,1,0
Why people hate your app: making sense of user feedback in a mobile app store,2013,1,1,1,1,1,1,1,1
AR-miner: mining informative reviews for developers from mobile app marketplace,2014,1,0,0,1,0,1,0,0
FAVe: Visualizing User Feedback for Software Evolution,2014,0,1,0,0,0,0,0,0
For User-Driven Software Evolution: Requirements Elicitation Derived from Mining Online Reviews,2014,0,1,1,0,0,0,0,0
How Do Users Like This Feature? A Fine Grained Sentiment Analysis of App Reviews,2014,1,1,0,1,0,1,0,1
Popularity Modeling for Mobile Apps: A Sequential Approach,2014,1,1,1,1,1,1,1,1
"Prioritizing the Devices to Test Your App on:
A Case Study of Android Game Apps",2014,1,0,0,0,0,0,0,0
"""What Parts of Your Apps are Loved by Users?""",2015,1,1,1,1,0,1,1,1
AUTOREB: Automatically Understanding the Review-to-Behavior Fidelity in Android Applications,2015,1,1,1,1,1,1,1,1
Discovery of Ranking Fraud for Mobile Apps,2015,1,1,1,1,1,1,1,1
Ensemble Methods for App Review Classification: An Approach for Software Evolution,2015,1,1,0,1,0,1,0,1
Generative Models for Mining Latent Aspects and Their Ratings from Short Reviews,2015,1,0,0,0,0,0,0,0
How can i improve my app? Classifying user reviews for software maintenance and evolution,2015,1,1,0,1,0,1,0,1
Identification and Classification of Requirements from App User Reviews,2015,0,0,1,0,0,0,0,0
It feels different from real life: Users' Opinions of Mobile Applications for Mental Health,2015,0,0,0,0,0,0,1,0
Leveraging User Reviews to Improve Accuracy for Mobile App Retrieval,2015,1,1,1,1,1,1,1,1
Mobile App Security Risk Assessment: A Crowdsourcing Ranking Approach from User Comments,2015,1,1,1,1,1,1,1,1
PAID: Prioritizing app issues for developers by tracking user reviews over versions,2015,0,1,1,1,0,1,0,1
Retrieving Diverse Opinions from App Reviews,2015,1,1,0,1,0,1,0,1
SimApp: A Framework for Detecting Similar Mobile Applications by Online Kernel Learning,2015,1,1,1,1,1,1,1,1
The App Sampling Problem for App Store Mining,2015,1,1,1,1,1,1,1,1
User reviews matter! Tracking crowdsourced reviews to support evolution of successful apps,2015,0,1,1,0,1,1,0,1
What Do Mobile App Users Complain About?,2015,1,1,1,1,1,1,1,1
Approaches for prioritizing feature improvements extracted from app reviews,2016,0,0,0,1,0,0,0,0
Experience Report: Understanding Cross-Platform App Issues from User Reviews,2016,0,1,1,1,0,1,0,1
On the automatic classification of app reviews,2016,1,1,1,1,1,1,1,1
What would users change in my app? summarizing app reviews for recommending software changes,2016,1,1,1,1,1,0,1,1
A first look at mobile Ad-Blocking apps,2017,0,0,0,1,0,0,0,0
An Automated Feedback-Based Approach to Support Mobile App Development,2017,0,0,0,1,0,1,1,0
Analyzing reviews and code of mobile apps for better release planning,2017,1,1,1,1,1,1,0,0
Attributes that Predict which Features to Fix: Lessons for App Store Mining,2017,1,0,0,0,0,1,0,0
Automatic Classification of Non-Functional Requirements from Augmented App User Reviews,2017,0,0,1,0,0,1,0,0
Crowdsourced App Review Manipulation,2017,1,1,1,1,1,1,1,1
Is It Worth Responding to Reviews? Studying the Top Free Apps in Google Play,2017,1,1,1,1,1,1,1,1
Mobile apps for mood tracking: an analysis of features and user reviews,2017,0,0,0,0,0,0,1,0
OASIS: prioritizing static analysis warnings for Android apps based on app user reviews,2017,0,1,1,1,0,1,0,0
Preliminary Study on Applying Semi-Supervised Learning to App Store Analysis,2017,1,1,1,1,1,0,1,0
