title,author,year,venue,evidence for review rating,evidence for review length,evidence for domain knowledge,evidence for textual content,evidence for dynamic nature,evidence for review sentiment,other information,summarization
A preliminary analysis of mobile app user reviews,Vasa et al.,2012,OZCHI,RQ 2) Does the star rating affect the length of a review?,"RQs: 1) What is the size of a user review and is there an average length? 2) Does the star rating affect the length of a review?, and 3) Does the category of an app influence the length of areview?",RQ 3) Does the category of an app influence the length of a review?,,,,,"Star rating, review length, app category."
Analysis of user comments: An approach for software requirements evolution,Carreno and Winbladh,2013 ,ICSE,"As further information we have the number of “stars” per comment, as ratings, to include.",,,,,"However, we still need the sentiment, or a representative comment to understand what users think of each topic.",,"Rating, sentiment."
Why people hate your app: making sense of user feedback in a mobile app store,Fu et al.,2013 ,KDD,"Each user review consists of a timestamp showing when the review was created, a user rating, and the user's comment in the text form.",User reviews on mobile app stores differ from other online stores in two significant aspects: (a) these reviews are generally shorter in length since a large portion of them are submitted from mobile devices on which typing is not so easy;,,"0. Each user review consists of a timestamp showing when the review was created, a user rating, and the user's comment in the text form.
1. allow people to easily absorb information contained in large set of text reviews and numerical ratings by offering multiple forms of summarization.
2. In the micro level analysis, we target individual text comments.","User reviews on mobile app stores differ from other online stores in two significant aspects: (b) individual app may have multiple releases, therefore reviews are often specific to a particular version and vary over time.","1. Per review analysis (Micro level, Section 4): identifying sentiments and their strength in each review;.
1.1. In the micro level analysis, we target individual text comments and perform word-level analysis to understand the impact of each word on users' actual sentiments. This analysis helps us identify the vocabulary users used to praise or criticize apps.",,"Rating, text comment, shorter in length, submitted from mobile devices on which typing is not so easy, timestamp, reviews are often specific to a particular version and vary over time, sentiment."
Retrieving and analyzing mobile apps feature requests from online reviews,Iacob and Harrison,2013 ,MSR,"meta-data associated with each review is also collected for further analysis. Such meta-data includes the date the review was posted, the rating the user gave, the device associated to the review, the version of the app used by the user, and the title the user associated the review with.","reviews have a style of their own; they are usually short, unstructured and seldom obey grammar and punctuation rules.","(device) For each review, we automatically collected the date it was posted, the rating the user gave, the device associated with it, and the version of the app, as well as the title and the text of the actual review.","for developers, reviews are evaluations which may include ideas for improvement or feature requests.... reviews have a style of their own; they are usually short, unstructured and seldom obey grammar and punctuation rules. Moreover, users express opinions in unconventional ways, often using unconventional syntax or sarcasm to vent their feelings after purchasing an app. Even though humans can usually interpret such reviews, it is challenging to automate such interpretations [6].","meta-data associated with each review is also collected for further analysis. Such meta-data includes the date the review was posted, the rating the user gave, the device associated to the review, the version of the app used by the user, and the title the user associated the review with.",,"(massive) First, the number of reviews associated with one app often exceeds a human's capacity to read them all in order to identify recurring issues and trends.","Posting date, rating, device, app version, style (short, unstructured and seldom obey grammar and punctuation rules), using unconventional syntax or sarcasm, a large number of reviews."
User feedback in the appstore: An empirical study,Pagano and Maalej,2013 ,RE,"Feedback meta-data: What is a typical user feedback in terms of length, ratings, and helpfulness?","Feedback meta-data: What is a typical user feedback in terms of length, ratings, and helpfulness?",,"Feedback content describes topics (i.e. semantic entities) provided in the feedback information and their frequencies. In particular, we investigate the following questions:
1.1. Feedback type: Which types of user feedback exist?
1.2. Feedback patterns: Are there patterns in the co-occurrences of feedback types?",Feedback frequency: When and how often do users provide feedback?,,,"Length, ratings, helpfulness, feedback content (feedback type and pattern), feedback frequency."
AR-miner: mining informative reviews for developers from mobile app marketplace,Chen et al.,2014 ,ICSE,"Consider an individual app, in a time interval T , it receives a list of user reviews R* with an attribute set A... Without loss of generality, in this work, we choose A = {Text, Rating, Timestamp}, since these are the common attributes supported in all main-stream app marketplaces.",,,"These (app) reviews present user feedback on various aspects of apps (such as functionality, quality, performance, etc), and provide app developers a new and critical channel to extract user feed-back. However, comparing with traditional channels, there are two outstanding obstacles for app developers to obtain valuable information from this new channel. First of all, the proportion of ""informative"" user reviews is relatively low. In our study (see Section 5.1), we found that only 35.1% of app reviews contain information that can directly help developers improve their apps.","Consider an individual app, in a time interval T , it receives a list of user reviews R* with an attribute set A... Without loss of generality, in this work, we choose A = {Text, Rating, Timestamp}, since these are the common attributes supported in all main-stream app marketplaces.",,"(massive) Second, for some popular apps, the volume of user reviews is simply too large to do manual checking on all of them.","Text, rating, timestamp, the proportion of ""informative"" user reviews is relatively low, the volume of user reviews is simply too large."
How Do Users Like This Feature? A Fine Grained Sentiment Analysis of App Reviews,Guzman and Maalej,2014 ,RE,"However, there are several limitations which prevent analysts and development teams from using the information in the reviews... The usefulness of the star ratings in the reviews is limited for development teams, since a rating represents an average for the whole app and can combine both positive and negative evaluations of the single features.","For analyzing sentiments in user reviews, we use SentiStrength [28], a lexical sentiment extraction tool specialized in dealing with short, low quality text.... Pagano and Maalej [21] found that 80.4% of the comment reviews in the App Store contain less than 160 characters, making SentiStrength a good candidate for analyzing sentiments in user reviews.",,"Recent empirical studies [4], [6], [21] showed that app store reviews include information that is useful to analysts and app designers, such as user requirements, bug reports, feature requests, and documentation of user experiences with specific app features. This feedback can represent a ""voice of the users"" and be used to drive the development effort and improve forthcoming releases [15], [25].
However, there are several limitations which prevent analysts and development teams from using the information in the reviews... Second, the quality of the reviews varies widely, from helpful advice and innovative ideas to insulting comments.",,"However, there are several limitations which prevent analysts and development teams from using the information in the reviews... Third, a review typically contains a sentiment mix concerning the different app features, making it difficult to, e.g., filter positive and negative feedback or retrieve the feedback for specific features.",,"Star rating, sentiment, short (less than 160 characters), the quality of the reviews varying widely."
Ensemble Methods for App Review Classification: An Approach for Software Evolution,Guzman et al.,2015,ASE,"1. For each review, the title, comment and rating were displayed and the annotators labeled the corresponding categories of the review.

2. To train each classifier we apply the following steps on the title and comment of each single review: ... (3) add additional features into the vector space model for each review, i.e. review rating, number of words in the review, number of characters in the review, number of lower case characters, number of upper case characters, number of exclamation marks, number of ”@” symbols, number of spaces, average word length, ratio of positive sentiment words, ratio of negative sentiment words.","To train each classifier we apply the following steps on the title and comment of each single review: ... (3) add additional features into the vector space model for each review, i.e. review rating, number of words in the review, number of characters in the review, number of lower case characters, number of upper case characters, number of exclamation marks, number of ”@” symbols, number of spaces, average word length, ratio of positive sentiment words, ratio of negative sentiment words.",,"the processing of feedback from app stores presents three main challenges: (2) the relatively low proportion of informative user reviews. Previous research [5], [6], [4] found that about one third of the reviews contain information that can be useful for the evolution of the app, i.e. bug reports, feature requests and user scenarios and (3) the unstructured nature of app reviews. In app stores feedback is given in free form and no predetermined fields are used.",,"To train each classifier we apply the following steps on the title and comment of each single review: ... (3) add additional features into the vector space model for each review, i.e. review rating, number of words in the review, number of characters in the review, number of lower case characters, number of upper case characters, number of exclamation marks, number of ”@” symbols, number of spaces, average word length, ratio of positive sentiment words, ratio of negative sentiment words.",(massive) the processing of feedback from app stores presents three main challenges: (1) the high amount of user reviews for popular apps.,"Title, comment, rating, number of words in the review, number of characters in the review, ratio of positive sentiment words, ratio of negative sentiment words, relatively low proportion of informative user reviews, unstructured nature of app reviews, free form, high amount of user reviews for popular apps."
What Do Mobile App Users Complain About?,Khalid et al.,2015 ,IEEE Software,"Poor reviews affect sales more than good reviews because buyers are more likely to react to low ratings and complaints. So, to understand why users give low ratings to iOS apps, we focused on reviews with one- and two-star ratings. We explored two sources of information: the star ratings and their associated comments.",,,"Poor reviews affect sales more than good reviews because buyers are more likely to react to low ratings and complaints.So, to understand why users give low ratings to iOS apps, we focused on reviews with one- and two-star ratings. We explored two sources of information: the star ratings and their associated comments.",,,,"Rating, comment."
"Bug report, feature request, or simply praise? On automatically classifying app reviews",Maalej and Nabil,2015 ,RE,"1. Review Metadata: Rating and Length
1.1.Common metadata that can be collected with the reviews include the star rating, the length, and the submission time.","1. Review Metadata: Rating and Length
1.1.Common metadata that can be collected with the reviews include the star rating, the length, and the submission time.","Common metadata that can be collected with the reviews include the star rating, the length, and the submission time.","Recent research has pointed the potential importance of the reviews for the app developers and vendors as well. A significant amount of the reviews include requirements-related information such as bugs or issues [27], summary of the user experience with certain features [12], requests for enhancements [18], and even ideas for new features [8], [27]. Unfortunately, there are also a bunch of useless, low quality reviews, which include senseless information, insulting comments, spam, or just repetition of the star rating in words. With hundreds of reviews submitted per day for popular apps [16], [27], it becomes difficult for developers and analysts to filter and process useful information from the reviews.",,Reviews in the app stores usually reflect users' positive and negative emotions [12].,,"Star rating, length, submission time, a bunch of useless, low quality reviews, reflecting positive and negative emotions."
