paper,year,tool/author,tool link,tool description,artifact,tool component,other tool exploited,comparison between these 36 tools,other comparison,evaluation approach,evaluation metric
Classifying User Requirements from Online Feedback in Small Dataset Environments using Deep Learning,2021,Mekala et al.,https://doi.org/10.6084/m9.figshare.14273594,Classifying app reviews as Helpful or Useless in review level and sentence level.,app reviews,Traditional Machine Learning Implementations/ Deep Learning Implementations,no,,"crowdsourcing results of Van Vliet et al. [1], SVM Classier, Naive Bayes Classifier, FastText-based Classifier, ELMo-based Classifier, BERT-based Classifier",existing dataset：using the sample of user reviews and the gold standard of Van Vliet et al. [1] described in Section IV-C.,"Precision, Recall, F1-measure"
AR-miner: mining informative reviews for developers from mobile app marketplace,2014,AR-miner,https://github.com/jinyyy666/AR_Miner (replication package submiited by others),Summarizing app reviews by visualizing the most informative reviews,app reviews,Filtering + Grouping + Ranking + Visualization,no,,"evaluate their own tool:

EMNB-LDA and LDA;

LDA and ASUM;

AR-Miner (EMNB) and AR-Miner (NB)","1. annotated dataset by authors;

2. online forum","Recall (Hit-rate) and F-measure;
Adopt NormalizedDiscounted Cumulative Gain (NDCG) [17] as a measure forevaluating the quality of top-k ranking results;"
Exploiting Natural Language Structures in Software Informal Documentation,2019,NEON,https://github.com/adisorbo/NEONReplicationPackage,Identifying recurrent language structures in texts,"app reviews, development emails, descriptions of bugs mined from GitHub",Pattern Mining + Classification,no,,Rule Identification with NEON and without NEON,"1. annotated dataset by authors;

2. manually defined NLP heuristics as ground truth","TruePositives (TP), False Negatives (FN), False Positives (FP), TrueNegatives (TN), Recall (R), Precision (P), and F-Measure (F1)"
SAFE: A Simple Approach for Feature Extraction from App Descriptions and App Reviews,2017,SAFE,https://github.com/faizalishah/SAFE_REPLICATION (replication package submiited by others),Extracting app features via pre-defined text patterns,"app reviews, app descriptions",Identifying Patterns+ Automated Feature Extraction + Automated Feature Matching,no,,"1. App store mining and analysis: Msr for app stores (not in our SLR list-not related to processing review text)

2. How do users like this feature? a fine grained sentiment analysis of app reviews (no open source link)","1. annotated dataset by authors;

2. manual verification (to evaluate feature matching results)","Recall (R), Precision (P), and F-Measure (F1)"
What would users change in my app? summarizing app reviews for recommending software changes,2016,URM,https://spanichella.github.io/tools.html#surf,Classifying app reviews based on users' intentions  and the review topics.,app reviews,Intention Classification + Topics Classification,no,,evaluate their own tool,survey,correctness rate
What would users change in my app? summarizing app reviews for recommending software changes,2016,SURF,https://spanichella.github.io/tools.html#surf,Summarizing app reviews by visualizing the most informative reviews and recommending software changes,app reviews,Intention Classification + Topics Classification + Sentence Scoring and Extraction + Summary Generation,no,,evaluate their own tool,"survey (to manually validate the classification correctness of data contained in the summaries (Q1 in Table 6) and provide their opinion on (i) the content adequacy (Q9 of Table 6), (ii) the conciseness (Q10 of Table 6), and (iii) the expressiveness (Q12 of Table 6))","Likert scale, percentage"
INFAR: insight extraction from app reviews,2018,INFAR,"Demo Tool Website: https://remine-lab.github.io/paper/infar.html
Demo Video: https://youtu.be/MjcoiyjA5TE (tool website)","Summarizing app reviews with trend analysis and three insights (i.e., salient topics, abnormal topics, and correlated topics)",app reviews,Insight Extraction + Text Template Definition + User Review Prioritization,no,,evaluate their own tool,survey (to evaluate the usefulness of the insight summary generated by INFAR),percentage
Caspar: Extracting and Synthesizing User Stories of Problems from App Reviews,2020,Caspar,https://hguo5.github.io/Caspar/,Summarizing user stories of problems from app reviews,app reviews,"Extracting Events + Synthesizing Event Pairs (Manual labeling, Event encoding, Classification, Synthesis, Manual verification) + Inferring Events (USE+SVM, Bi-LSTM network, Negative sampling, Clustering)",no,,"evaluate their own tool:

Classification: TF-IDF + SVM and USE + SVM;","1. annotated dataset by authors;

2. manual verification (manual verification of Caspar's extraction results)","Accuracy, Precision, Recall"
Experience Report: Understanding Cross-Platform App Issues from User Reviews,2016,CrossMiner,https://github.com/armor-ai/CrossMiner,Summarizing cross-platform app issues from app reviews,app reviews,Clean Review Extraction + Keywords Generation (Training Model + Extracting Keywords + Ranking Reviews) + Visualization,no,,evaluate their own tool,"1. show case studies;
2. use official user forums as ground truth: capture the issue rankings from the official iOS community and Window Phone community",Normalized Discounted Cumulative Gain (NDCG)
User reviews matter! Tracking crowdsourced reviews to support evolution of successful apps,2015,CRISTAL,https://www.cs.wm.edu/semeru/data/ICSME15-cristal/,Tracing app reviews onto app changes for better evolution,"app reviews, commit notes and issue reports",Extracting Issues and Commits + Detecting Links (Linking Informative Reviews and Issues + Linking Informative Reviews and Commits + Linking Issues and Commits + Filtering Links) + Monitoring Crowdsourced Reviews with CRISTAL,"AR-Miner, ReLink",,evaluate their own tool,annotated dataset by authors,"Precision, Recall, and F-measure"
Online App Review Analysis for Identifying Emerging Issues,2018,IDEA,https://github.com/ReMine-Lab/IDEA,Summarizing app reviews for detecting emerging app issues,app reviews,"Phrase Extraction + Emerging Topic Detection (AOLDA, Emerging Topic Detection) + Topic Interpretation (Candidate Extraction, Topic Labeling) + Visualization",no,,"evaluate their own tool:

OLDA, IDEA-R, IDEA-S, IDEA+","1. use app changelogs as ground truth;

2. manual verification (whether the identified app issues of one version can be reflected in the changelogs of the next version)","Precision, Recall, and F-measure"
Listening to the Crowd for the Release Planning of Mobile Apps,2019,CLAP,https://dibt.unimol.it/report/others/clap/,Summarizing app reviews for app release planning,app reviews,Categorizing User Reviews + Clustering Related Reviews + Prioritizing Review Clusters,no,AR-Miner,,"1. annotated dataset by authors;

2. comparing the review clusters generated by CLAP with respect to manually-produced clusters by three industrial developers;

3. assessing the ability of CLAP to recommend changes to implement in sight of the next app releases;

4. semi-structuredinterviews (provided our tool to managers of three Italian software companies to get quantitative and qualitative feedback about the applicability of CLAP in their everyday decision making process)","1. measure the similarity between the two partitions of reviews by CLAP) by using the MoJo eFfectiveness Measure(MoJoFM) [25], a normalized variant of the MoJo distance;

2. Precision, Recall, and F-measure, AUROC"
Identifying Key Features from App User Reviews,2021,KEFE,https://github.com/GIST-NJU/KEFE,Identifying app  features highly correlated to app ratings from app reviews,"app reviews, app descriptions",Feature Extraction + User Review Matching + Regression Analysis,no,,random approach,"1. annotated dataset by authors；

2. use release notes as ground truth.","Precision, Recall, F-measure, Accuracy, Hit Ratio"
Emerging App Issue Identification via Online Joint Sentiment-Topic Tracing,2022,MERIT,https://github.com/armor-ai/MERIT,Summarizing app reviews for detecting emerging app issues,app reviews,Data Preparation (Preprocessing and Filtering + Polarity Word Preparation) + AOBST (Biterm Sentiment-Topic Model + Adaptive Online Joint Sentiment-Topic Tracing) + Emerging Issue Detection (Emerging Topic Identification + Automatic Topic Interpretation +Interpreting Topics with Phrases/ Sentences) + Interpreting Topics with Phrases.,AOBST,IDEA,OLDA,use app changelogs as ground truth,"Precision, Recall, and F1-score"
How can i improve my app? Classifying user reviews for software maintenance and evolution,2015,ARdoc,https://spanichella.github.io/tools.html#ardoc,Classifying app reviews for software maintenance and evolution,app reviews,Taxonomy for Software Maintenance and Evolution + Text Analysis (Preprocessing + Textual Feature Weighting) + Natural Language Processing + Sentiment Analysis + Learning Classifiers,use AR-miner to filter out non-informative reviews when annotating dataset,,"evaluate their own tool:

different combination of NLP, TA and SA approaches",annotated dataset by authors,"Precision, Recall, F-measure"
Analyzing reviews and code of mobile apps for better release planning,2017,URR,https://zenodo.org/records/161652,Classifying app reviews and localizing source code to be changed,"app reviews, source code",Classifying reviews + Linking reviews with source code,no,,evaluate their own tool,"1. annotated dataset by authors；

2. manual verification for the performance of linking reviews & code: we ran the URR prototype using the dataset obtained in the previous step and saved for each review the list of source code artifacts returned as output. We then asked the evaluator to report the set of false positive and false negatives for each review;

3. survey: investigate the perceived difficulty in analysing user reviews and the potential usefulness of our approach","Precision, Recall, and F1-score"
