paper,year,App Aspects,Issues & Complaints,Software Evolution,Security & Privacy,Undesired Behaviors,User Intention,User Experience,User Requirements,Other
Awesome!: conveying satisfaction on the app store,2013,,,,,,,,,1
Do Android users write about electric sheep? Examining consumer reviews in Google Play,2013,,,,,,,1,,
User feedback in the appstore: An empirical study,2013,,,1,,,,1,,
"What Are You Complaining About?: A Study
of Online Reviews of Mobile Applications",2013,1,,,,,,1,,
Why people hate your app: making sense of user feedback in a mobile app store,2013,1,1,,,,,,,
AR-miner: mining informative reviews for developers from mobile app marketplace,2014,,,,,,,,,1
"""What Parts of Your Apps are Loved by Users?""",2015,,,1,,,,,,
AUTOREB: Automatically Understanding the Review-to-Behavior Fidelity in Android Applications,2015,,,,1,,,,,
Ensemble Methods for App Review Classification: An Approach for Software Evolution,2015,,,1,,,,,,
How can i improve my app? Classifying user reviews for software maintenance and evolution,2015,,,,,,1,,,
Identification and Classification of Requirements from App User Reviews,2015,,,,,,,,1,
What Do Mobile App Users Complain About?,2015,,1,,,,,,,
Analyzing and automatically labelling the types of user issues that are raised in mobile app reviews,2016,,1,,,,,,,
Examining the Relationship between FindBugs Warnings and App Ratings,2016,,,,,,,,,1
Experience Report: Understanding Cross-Platform App Issues from User Reviews,2016,1,1,,,,,,,
On the automatic classification of app reviews,2016,,,1,,,,,,
What would users change in my app? summarizing app reviews for recommending software changes,2016,1,,,,,1,,,
A first look at mobile Ad-Blocking apps,2017,,1,,,,,,,
Analyzing reviews and code of mobile apps for better release planning,2017,1,,,,,,,,
Automatic Classification of Non-Functional Requirements from Augmented App User Reviews,2017,,,,,,,,1,
Is It Worth Responding to Reviews? Studying the Top Free Apps in Google Play,2017,,,1,,,,,,
Mobile apps for mood tracking: an analysis of features and user reviews,2017,,,,,,,1,,
Preliminary Study on Applying Semi-Supervised Learning to App Store Analysis,2017,,,1,,,,,,
Recommending and Localizing Change Requests for Mobile Apps Based on User Reviews,2017,,,,,,1,,,
Search Rank Fraud and Malware Detection in Google Play,2017,,,,,1,,,,
Towards De-Anonymization of Google Play Search Rank Fraud,2017,,,,,1,,,,
Users — The Hidden Software Product Quality Experts?: A Study on How App Users Report Quality Aspects in Online Reviews,2017,,,,,,,,1,
App Review Analysis Via Active Learning: Reducing Supervision Effort without Compromising Classification Accuracy,2018,,,1,,,,1,,
App store mining is not enough for app improvement,2018,,,1,,,,,,
Can App Changelogs Improve Requirements Classification from App Reviews? An Exploratory Study,2018,,,,,,,,1,
Exploring the integration of user feedback in automated testing of Android applications,2018,,,1,,,,,,
Improvement of User Review Classification Using Keyword Expansion,2018,,,1,,,,,,
Modeling User Concerns in the App Store: A Case Study on the Rise and Fall of Yik Yak,2018,,,,,,,1,,
On user rationale in software engineering,2018,,,,,,,,,1
Sentiment Analysis for Software Engineering: How Far Can We Go?,2018,,,,,,,,,1
Using frame semantics for classifying and summarizing application store reviews,2018,,,1,,,,,,
What Aspects Do Non-Functional Requirements in App User Reviews Describe? An Exploratory and Comparative Study,2018,,,,,,,,1,
What People Like in Mobile Finance Apps: An Analysis of User Reviews,2018,1,,,,,,,,
An empirical study of game reviews on the Steam platform,2019,,,1,,,,1,,
"Dating with Scambots: Understanding the
Ecosystem of Fraudulent Dating Applications",2019,,,,,1,,,,
Listening to the Crowd for the Release Planning of Mobile Apps,2019,,,1,,,,,1,
Mining non-functional requirements from App store reviews,2019,,,,,,,,1,
